GAME_ID,GAME_DATE,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,IS_HOME,POINTS_FOR,POINTS_AGAINST,WIN,MARGIN,FGA,FTA,OREB,TOV,MATCHUP,SEASON_ID
0022500136,2025-10-29,1610612747,LAL,Los Angeles Lakers,0,116,115,1,1,83,22,11,19,LAL @ MIN,22025
0022500024,2025-10-31,1610612747,LAL,Los Angeles Lakers,0,117,112,1,5,76,33,5,15,LAL @ MEM,22025
0022500155,2025-11-02,1610612747,LAL,Los Angeles Lakers,1,130,120,1,10,95,23,8,12,LAL vs. MIA,22025
0022500163,2025-11-03,1610612747,LAL,Los Angeles Lakers,0,123,115,1,8,85,16,8,17,LAL @ POR,22025
0022500179,2025-11-05,1610612747,LAL,Los Angeles Lakers,1,118,116,1,2,83,44,12,14,LAL vs. SAS,22025
0022500185,2025-11-08,1610612747,LAL,Los Angeles Lakers,0,102,122,0,-20,81,20,13,20,LAL @ ATL,22025
0022500198,2025-11-10,1610612747,LAL,Los Angeles Lakers,0,121,111,1,10,90,20,12,11,LAL @ CHA,22025
0022500222,2025-11-12,1610612747,LAL,Los Angeles Lakers,0,92,121,0,-29,77,28,9,20,LAL @ OKC,22025
0022500045,2025-11-14,1610612747,LAL,Los Angeles Lakers,0,118,104,1,14,84,26,10,18,LAL @ NOP,22025
0022500231,2025-11-15,1610612747,LAL,Los Angeles Lakers,0,107,88,1,19,71,28,10,14,LAL @ MIL,22025
0022500081,2025-10-22,1610612748,MIA,Miami Heat,0,121,125,0,-4,91,27,10,19,MIA @ ORL,22025
0022500094,2025-10-24,1610612748,MIA,Miami Heat,0,146,114,1,32,102,22,17,20,MIA @ MEM,22025
0022500108,2025-10-26,1610612748,MIA,Miami Heat,1,115,107,1,8,83,31,9,16,MIA vs. NYK,22025
0022500124,2025-10-28,1610612748,MIA,Miami Heat,1,144,117,1,27,96,22,8,11,MIA vs. CHA,22025
0022500141,2025-10-30,1610612748,MIA,Miami Heat,0,101,107,0,-6,90,11,5,14,MIA @ SAS,22025
0022500155,2025-11-02,1610612748,MIA,Miami Heat,0,120,130,0,-10,84,36,9,15,MIA @ LAL,22025
0022500164,2025-11-03,1610612748,MIA,Miami Heat,0,120,119,1,1,83,24,6,16,MIA @ LAC,22025
0022500178,2025-11-05,1610612748,MIA,Miami Heat,0,112,122,0,-10,86,25,5,15,MIA @ DEN,22025
0022500033,2025-11-07,1610612748,MIA,Miami Heat,1,126,108,1,18,99,14,6,8,MIA vs. CHA,22025
0022500187,2025-11-08,1610612748,MIA,Miami Heat,1,136,131,1,5,96,36,12,15,MIA vs. POR,22025
0022500201,2025-11-10,1610612748,MIA,Miami Heat,1,140,138,1,2,98,41,12,14,MIA vs. CLE,22025
0022500217,2025-11-12,1610612748,MIA,Miami Heat,1,116,130,0,-14,94,13,9,21,MIA vs. CLE,22025
0022500039,2025-11-14,1610612748,MIA,Miami Heat,0,132,140,0,-8,95,34,15,11,MIA @ NYK,22025
0022500086,2025-10-22,1610612749,MIL,Milwaukee Bucks,1,133,120,1,13,98,19,6,8,MIL vs. WAS,22025
0022500092,2025-10-24,1610612749,MIL,Milwaukee Bucks,0,122,116,1,6,90,25,14,19,MIL @ TOR,22025
0022500107,2025-10-26,1610612749,MIL,Milwaukee Bucks,0,113,118,0,-5,79,28,9,18,MIL @ CLE,22025
0022500125,2025-10-28,1610612749,MIL,Milwaukee Bucks,1,121,111,1,10,79,24,4,13,MIL vs. NYK,22025
0022500139,2025-10-30,1610612749,MIL,Milwaukee Bucks,1,120,110,1,10,96,13,7,16,MIL vs. GSW,22025
0022500142,2025-11-01,1610612749,MIL,Milwaukee Bucks,1,133,135,0,-2,82,31,9,11,MIL vs. SAC,22025
0022500157,2025-11-03,1610612749,MIL,Milwaukee Bucks,0,117,115,1,2,88,22,9,18,MIL @ IND,22025
0022500165,2025-11-04,1610612749,MIL,Milwaukee Bucks,0,100,128,0,-28,86,21,9,15,MIL @ TOR,22025
0022500035,2025-11-07,1610612749,MIL,Milwaukee Bucks,1,126,110,1,16,103,18,14,11,MIL vs. CHI,22025
0022500191,2025-11-09,1610612749,MIL,Milwaukee Bucks,1,115,122,0,-7,79,24,7,13,MIL vs. HOU,22025
0022500203,2025-11-10,1610612749,MIL,Milwaukee Bucks,0,116,114,1,2,91,25,8,13,MIL @ DAL,22025
0022500213,2025-11-12,1610612749,MIL,Milwaukee Bucks,0,100,111,0,-11,88,13,10,9,MIL @ CHA,22025
0022500043,2025-11-14,1610612749,MIL,Milwaukee Bucks,1,147,134,1,13,85,22,5,22,MIL vs. CHA,22025
0022500231,2025-11-15,1610612749,MIL,Milwaukee Bucks,1,88,107,0,-19,75,24,11,13,MIL vs. LAL,22025
0022500089,2025-10-22,1610612750,MIN,Minnesota Timberwolves,0,118,114,1,4,86,24,10,19,MIN @ POR,22025
0022500019,2025-10-24,1610612750,MIN,Minnesota Timberwolves,0,110,128,0,-18,88,21,15,12,MIN @ LAL,22025
0022500110,2025-10-26,1610612750,MIN,Minnesota Timberwolves,1,114,110,1,4,84,37,13,14,MIN vs. IND,22025
0022500008,2025-10-27,1610612750,MIN,Minnesota Timberwolves,1,114,127,0,-13,85,29,7,15,MIN vs. DEN,22025
0022500136,2025-10-29,1610612750,MIN,Minnesota Timberwolves,1,115,116,0,-1,82,22,9,18,MIN vs. LAL,22025
0022500143,2025-11-01,1610612750,MIN,Minnesota Timberwolves,0,122,105,1,17,87,14,4,10,MIN @ CHA,22025
